Dining,FOOD,FISH,CHINESE,MEXICAN,JAPANESE,7-ELEVEN,3 AMIGOS,IN-N-OUT,ZIAS,TAQUERIA,GRILL,CHIPOTLE,PLUTOS,DUMPLING,TACO,THAI,STEVE,CREPEVILLE,SUBWAY,PIZZA,SUSHI,DELI,BURRITO,KEBAB,JAMBA JUICE,5GUYS,INDIAN,MEDITERRANEAN,BURGER,CHICKPEAS,SHANGHAI,SHALIMAR,SILO GRAB,US DAVIS GRAB, PHO ,PIZZERIA,FIVE GUYS,POSH BAGEL,WENDY'S,LUNCH,BACON,PANDA HUT,OMELETTE,GYRO,IHOP,RESTAURANT,WAWA,DINING,TASTE,PBC SACRAMENTO,TST* BHD,DINER,UCD AS CH,0310 MARKET STREET
Coffee,STARBUCKS,PEETS,AVA'S DOWNTOWN,MISHKAS,TEMPLE,COFFEE,CAFE,STARB
Grocery,WINN,GROCERY,SAFEWAY,HABIT,WHOLEFDS,COSTCO,SAVE MART,WESTLAKE IGA,STOP AND SHOP,MEIJER,NUTRITRUCK,TRADER JOES,TRADER JOE'S
Money Transfer,Check,Monthly Maintenance Fee,CHECK ORDER,BAL INQ,transfer
Cash Withdrawals,ATM,withdrawal,Withdrawal,WITHDRWL
Beer,BREWING,GREEN DOCTORS,BEER,MOLLY MAGEES,LIQUOR,WINE,ALL ABOUT WELLNESS,BREWERY,THE THIRD EYE,G STREET WUNDERBAR,DUKES PLATES AND PINTS,CONNIE MACS,PUB
Gas,ARCO,SHELL, GAS ,CHEVRON,PETROLEUM,NICOLAUS EXPRESS,FLETCHER MARAT
Car,PARKING,AUTO, CAR , OIL ,LICENSE,DMV,UNITED PACIFIC,JIFFY LUBE
Entertainment,GOOGLE.COM/CHCA,SPORTS,RECREATION,CENTRO YBOR,MASHRIQI,REGAL DAVIS STADIUM
Travel,FRIENDS OF SANTA CRUZ,CARPINTERIA,CHEMULT,AIRPORTER,GRAND CENTRAL STATION,USPS
Health,LIFELINE ACUPUNCTURE
Beauty,GREAT CLIPS,HAIR CUTTERY
bike,BICYCLE
Shopping,TARGET,CVS,OLD CITY KITES,BEST BUY,DOLLAR TREE,Amazon,Wal-Mart,AMAZON,KIM'S DOLLAR,RITE AID,SEARS,WALGREENS,GOODWILL,RADIOSHACK,FAST & EASY MART, ACE ,BASS PRO SHOPS,RALEY'S
Utilities,COMCAST,ONLINE,PARK AT STONEBROOK,BlueRockPremi,PURCHASE CK
Education,UNIV CALIF DAVIS
